,output_testInput,output_MR,MR_checker
130,-13,-39,Violated
131,-44,-132,Violated
132,11,33,Violated
133,14,42,Violated
134,-44,-132,Violated
135,-6,-18,Violated
136,39,117,Not-violated
137,-77,-231,Not-violated
138,-66,-198,Violated
139,-7,-21,Not-violated
140,15,45,Violated
141,13,39,Not-violated
142,-24,-72,Not-violated
143,12,36,Not-violated
144,-14,-42,Violated
145,41,123,Not-violated
146,-27,-81,Violated
147,-30,-90,Violated
148,22,66,Not-violated
149,4,12,Violated
150,-15,-45,Not-violated
151,-8,-24,Violated
152,-19,-57,Violated
153,14,42,Not-violated
154,-35,-105,Violated
155,18,54,Not-violated
156,-27,-81,Violated
157,35,105,Not-violated
158,-35,-105,Violated
159,-13,-39,Not-violated
160,-45,-135,Violated
161,7,21,Not-violated
162,-37,-111,Not-violated
163,-31,-93,Not-violated
164,-17,-51,Not-violated
165,-44,-132,Not-violated
166,15,45,Not-violated
167,-30,-90,Not-violated
168,-13,-39,Not-violated
169,19,57,Not-violated
170,-12,-36,Not-violated
171,-23,-69,Not-violated
172,-24,-72,Not-violated
173,24,72,Not-violated
174,26,78,Violated
175,-11,-33,Violated
176,-22,-66,Violated
177,9,27,Violated
178,-47,-141,Violated
179,-14,-42,Not-violated
180,-42,-126,Violated
181,-22,-66,Violated
182,52,156,Violated
183,-6,-18,Violated
184,-37,-111,Not-violated
185,-26,-78,Violated
186,26,78,Violated
187,-24,-72,Violated
188,-27,-81,Violated
189,-4,-12,Not-violated
190,-38,-114,Violated
191,-43,-129,Violated
192,-52,-156,Violated
193,59,177,Not-violated
194,-85,-255,Violated
195,23,69,Not-violated
196,4,12,Violated
197,-37,-111,Violated
198,-41,-123,Violated
199,-58,-174,Violated
200,-45,-135,Violated
201,-66,-198,Not-violated
202,-32,-96,Violated
203,-74,-222,Violated
204,-53,-159,Violated
205,-3,-9,Not-violated
206,-4,-12,Violated
207,-4,-12,Not-violated
208,3,9,Not-violated
209,2,6,Violated
210,8,24,Not-violated
211,28,84,Not-violated
212,30,90,Not-violated
213,37,111,Not-violated
214,14,42,Not-violated
215,-20,-60,Violated
216,5,15,Not-violated
217,-28,-84,Violated
218,62,186,Not-violated
219,-36,-108,Not-violated
220,-7,-21,Violated
221,19,57,Not-violated
222,6,18,Not-violated
223,7,21,Violated
224,-37,-111,Violated
225,10,30,Not-violated
226,9,27,Violated
227,-43,-129,Not-violated
228,-19,-57,Violated
229,26,78,Not-violated
230,-32,-96,Violated
231,7,21,Not-violated
232,-36,-108,Not-violated
233,-33,-99,Violated
234,11,33,Not-violated
235,-71,-213,Not-violated
236,29,87,Not-violated
237,38,114,Not-violated
238,35,105,Violated
239,-10,-30,Violated
240,17,51,Not-violated
241,-20,-60,Violated
242,-16,-48,Violated
243,11,33,Not-violated
244,15,45,Violated
245,50,150,Not-violated
246,-5,-15,Not-violated
247,53,159,Not-violated
248,-50,-150,Violated
249,-19,-57,Not-violated
250,-42,-126,Not-violated
251,-65,-195,Violated
252,-25,-75,Violated
253,-22,-66,Violated
254,-33,-99,Violated
255,30,90,Not-violated
256,-33,-99,Not-violated
257,17,51,Violated
258,52,156,Not-violated
259,-19,-57,Not-violated
260,-57,-171,Not-violated
261,11,33,Not-violated
262,-59,-177,Not-violated
263,15,45,Violated
264,-92,-276,Violated
265,-20,-60,Violated
266,46,138,Violated
267,-11,-33,Violated
268,1,3,Violated
269,17,51,Not-violated
270,72,216,Violated
271,6,18,Violated
272,26,78,Not-violated
273,105,315,Not-violated
274,-25,-75,Violated
275,51,153,Not-violated
276,-6,-18,Violated
277,4,12,Violated
278,18,54,Not-violated
279,-53,-159,Not-violated
280,12,36,Not-violated
281,51,153,Not-violated
282,13,39,Violated
283,10,30,Violated
284,-10,-30,Not-violated
285,8,24,Not-violated
286,45,135,Not-violated
287,5,15,Violated
288,-70,-210,Violated
289,1,3,Not-violated
290,-24,-72,Not-violated
291,-1,-3,Violated
292,17,51,Violated
293,16,48,Not-violated
294,1,3,Violated
295,-9,-27,Violated
296,6,18,Violated
297,-17,-51,Violated
298,17,51,Not-violated
299,72,216,Not-violated
300,40,120,Not-violated
301,-12,-36,Not-violated
302,32,96,Not-violated
303,36,108,Not-violated
304,-28,-84,Violated
305,-62,-186,Violated
306,-1,-3,Not-violated
307,-1,-3,Violated
308,-2,-6,Violated
309,30,90,Not-violated
310,19,57,Violated
311,5,15,Not-violated
312,25,75,Violated
313,-28,-84,Violated
314,4,12,Not-violated
315,43,129,Not-violated
316,-34,-102,Not-violated
317,22,66,Not-violated
318,-51,-153,Violated
319,10,30,Not-violated
320,45,135,Not-violated
321,-14,-42,Not-violated
322,10,30,Not-violated
323,31,93,Not-violated
324,-29,-87,Violated
325,18,54,Not-violated
326,1,3,Not-violated
327,5,15,Violated
328,7,21,Not-violated
329,-23,-69,Violated
330,16,48,Not-violated
331,34,102,Violated
332,-38,-114,Violated
333,-46,-138,Violated
334,0,0,Violated
335,20,60,Not-violated
336,9,27,Not-violated
337,45,135,Violated
338,-22,-66,Violated
339,-20,-60,Violated
340,3,9,Violated
341,-28,-84,Violated
342,-4,-12,Not-violated
343,13,39,Not-violated
344,-20,-60,Violated
345,-12,-36,Violated
346,-20,-60,Not-violated
347,2,6,Violated
348,23,69,Violated
349,29,87,Not-violated
350,11,33,Not-violated
351,21,63,Not-violated
352,-3,-9,Violated
353,-43,-129,Violated
354,-70,-210,Violated
355,-16,-48,Not-violated
356,-34,-102,Violated
357,-4,-12,Violated
358,43,129,Not-violated
359,-6,-18,Not-violated
360,38,114,Violated
361,-49,-147,Violated
362,26,78,Not-violated
363,-18,-54,Violated
364,25,75,Not-violated
365,-37,-111,Violated
366,-37,-111,Violated
367,-38,-114,Violated
368,-15,-45,Not-violated
369,-7,-21,Violated
370,-1,-3,Not-violated
371,-16,-48,Not-violated
372,-2,-6,Not-violated
373,-24,-72,Violated
374,-39,-117,Not-violated
375,-17,-51,Violated
376,-17,-51,Not-violated
377,36,108,Not-violated
378,25,75,Violated
379,18,54,Not-violated
380,34,102,Not-violated
381,19,57,Violated
382,-7,-21,Not-violated
383,23,69,Not-violated
384,-41,-123,Not-violated
385,-30,-90,Not-violated
386,27,81,Violated
387,11,33,Not-violated
388,-37,-111,Violated
389,-38,-114,Not-violated
390,43,129,Violated
391,-12,-36,Violated
392,-32,-96,Violated
393,6,18,Not-violated
394,-8,-24,Not-violated
395,36,108,Violated
396,-84,-252,Violated
397,-87,-261,Not-violated
398,-41,-123,Violated
399,-32,-96,Not-violated
400,-11,-33,Violated
401,-28,-84,Not-violated
402,4,12,Not-violated
403,-24,-72,Violated
404,-40,-120,Not-violated
405,-40,-120,Not-violated
406,-27,-81,Violated
407,-10,-30,Not-violated
408,3,9,Violated
409,-52,-156,Not-violated
410,-45,-135,Violated
411,-52,-156,Violated
412,64,192,Not-violated
413,-1,-3,Violated
414,21,63,Violated
415,23,69,Not-violated
416,-36,-108,Violated
417,-31,-93,Violated
418,-14,-42,Not-violated
419,-53,-159,Not-violated
420,-8,-24,Violated
421,-42,-126,Violated
422,-47,-141,Violated
423,9,27,Violated
424,-16,-48,Not-violated
425,-2,-6,Violated
426,-41,-123,Violated
427,-29,-87,Violated
428,-6,-18,Violated
429,38,114,Not-violated
430,3,9,Violated
431,-13,-39,Violated
432,-17,-51,Violated
433,-2,-6,Not-violated
434,-43,-129,Violated
435,9,27,Not-violated
436,0,0,Not-violated
437,-57,-171,Not-violated
438,-145,-435,Violated
439,59,177,Not-violated
440,-1,-3,Not-violated
441,-30,-90,Violated
442,14,42,Not-violated
443,-30,-90,Violated
444,-48,-144,Not-violated
445,-26,-78,Not-violated
446,29,87,Violated
447,22,66,Violated
448,0,0,Violated
449,-65,-195,Violated
450,-37,-111,Violated
451,-22,-66,Violated
452,-2,-6,Not-violated
453,-6,-18,Violated
454,-27,-81,Violated
455,-4,-12,Not-violated
456,-16,-48,Violated
457,28,84,Violated
458,12,36,Not-violated
459,15,45,Violated
460,-2,-6,Violated
461,-52,-156,Not-violated
462,-9,-27,Violated
463,39,117,Not-violated
464,-4,-12,Not-violated
465,-120,-360,Violated
466,7,21,Not-violated
467,52,156,Not-violated
468,74,222,Not-violated
469,-4,-12,Violated
470,7,21,Not-violated
471,8,24,Violated
472,7,21,Violated
473,-31,-93,Violated
474,28,84,Not-violated
475,25,75,Not-violated
476,-13,-39,Violated
477,-7,-21,Not-violated
478,28,84,Violated
479,-26,-78,Not-violated
480,-25,-75,Violated
481,38,114,Not-violated
482,90,270,Not-violated
483,46,138,Violated
484,-17,-51,Not-violated
485,-64,-192,Violated
486,16,48,Violated
487,-1,-3,Violated
488,-106,-318,Violated
489,30,90,Violated
490,-14,-42,Not-violated
491,65,195,Violated
492,11,33,Violated
493,7,21,Violated
494,-15,-45,Violated
495,13,39,Violated
496,-17,-51,Violated
497,0,0,Not-violated
498,20,60,Violated
499,31,93,Not-violated
500,-30,-90,Not-violated
501,26,78,Violated
502,1,3,Not-violated
503,14,42,Violated
504,36,108,Not-violated
505,24,72,Not-violated
506,15,45,Not-violated
507,-13,-39,Violated
508,-5,-15,Violated
509,46,138,Not-violated
510,6,18,Violated
511,-17,-51,Violated
512,-23,-69,Violated
513,0,0,Not-violated
514,0,0,Not-violated
515,-23,-69,Not-violated
516,21,63,Violated
517,-16,-48,Not-violated
518,-1,-3,Violated
519,23,69,Not-violated
520,13,39,Violated
521,-125,-375,Violated
522,-39,-117,Violated
523,-12,-36,Not-violated
524,-99,-297,Violated
525,25,75,Not-violated
526,30,90,Violated
527,27,81,Violated
528,17,51,Not-violated
529,14,42,Violated
530,47,141,Not-violated
531,-8,-24,Violated
532,67,201,Not-violated
533,1,3,Not-violated
534,33,99,Not-violated
535,33,99,Not-violated
536,17,51,Not-violated
537,-7,-21,Not-violated
538,-37,-111,Violated
539,3,9,Violated
540,4,12,Violated
541,-39,-117,Not-violated
542,-31,-93,Violated
543,37,111,Not-violated
544,3,9,Not-violated
545,23,69,Not-violated
546,-38,-114,Not-violated
547,-42,-126,Violated
548,-73,-219,Violated
549,-15,-45,Not-violated
550,38,114,Not-violated
551,-54,-162,Violated
552,70,210,Not-violated
553,-20,-60,Not-violated
554,8,24,Violated
555,22,66,Not-violated
556,17,51,Not-violated
557,-1,-3,Not-violated
558,62,186,Not-violated
559,8,24,Violated
560,11,33,Not-violated
561,-18,-54,Violated
562,7,21,Violated
563,-2,-6,Violated
564,48,144,Not-violated
565,-16,-48,Not-violated
566,33,99,Violated
567,-36,-108,Not-violated
568,7,21,Not-violated
569,-32,-96,Violated
570,-53,-159,Violated
571,48,144,Not-violated
572,54,162,Not-violated
573,-12,-36,Not-violated
574,53,159,Not-violated
575,-56,-168,Violated
576,54,162,Violated
577,-41,-123,Violated
578,-7,-21,Not-violated
579,-44,-132,Not-violated
580,-5,-15,Violated
581,-59,-177,Not-violated
582,29,87,Not-violated
583,3,9,Not-violated
584,-24,-72,Violated
585,-17,-51,Not-violated
586,-5,-15,Violated
587,10,30,Not-violated
588,-33,-99,Violated
589,50,150,Not-violated
590,-49,-147,Violated
591,-40,-120,Violated
592,-17,-51,Violated
593,-23,-69,Violated
594,20,60,Not-violated
595,-1,-3,Not-violated
596,-19,-57,Violated
597,10,30,Not-violated
598,60,180,Not-violated
599,13,39,Violated
600,32,96,Violated
601,21,63,Violated
602,-26,-78,Violated
603,-68,-204,Violated
604,-22,-66,Not-violated
605,8,24,Not-violated
606,12,36,Violated
607,57,171,Not-violated
608,51,153,Not-violated
609,-33,-99,Violated
610,2,6,Violated
611,-16,-48,Not-violated
612,-88,-264,Violated
613,16,48,Not-violated
614,26,78,Not-violated
615,8,24,Not-violated
616,-20,-60,Violated
617,-39,-117,Violated
618,34,102,Not-violated
619,-26,-78,Violated
620,0,0,Not-violated
621,-52,-156,Violated
622,-32,-96,Violated
623,-54,-162,Violated
624,17,51,Violated
625,-62,-186,Violated
626,-23,-69,Violated
627,14,42,Violated
628,12,36,Not-violated
629,-21,-63,Not-violated
630,48,144,Not-violated
631,-48,-144,Violated
632,-72,-216,Violated
633,-41,-123,Violated
634,15,45,Not-violated
635,28,84,Not-violated
636,-8,-24,Violated
637,32,96,Not-violated
638,0,0,Violated
639,-35,-105,Violated
640,-9,-27,Not-violated
641,77,231,Not-violated
642,5,15,Not-violated
643,-27,-81,Not-violated
644,39,117,Not-violated
645,10,30,Violated
646,18,54,Not-violated
647,-23,-69,Violated
648,-2,-6,Violated
649,9,27,Violated
650,-53,-159,Not-violated
651,-14,-42,Not-violated
652,1,3,Violated
653,-32,-96,Violated
654,-60,-180,Not-violated
655,-37,-111,Violated
656,-19,-57,Violated
657,22,66,Violated
658,-15,-45,Violated
659,20,60,Not-violated
660,8,24,Not-violated
661,-13,-39,Violated
662,-30,-90,Violated
663,44,132,Not-violated
664,-13,-39,Violated
665,54,162,Not-violated
666,-18,-54,Violated
667,15,45,Not-violated
668,-25,-75,Violated
669,-24,-72,Violated
670,-8,-24,Violated
671,31,93,Not-violated
672,51,153,Violated
673,-5,-15,Violated
674,12,36,Not-violated
675,42,126,Not-violated
676,-19,-57,Violated
677,24,72,Not-violated
678,15,45,Not-violated
679,90,270,Not-violated
680,12,36,Violated
681,-30,-90,Not-violated
682,-9,-27,Violated
683,29,87,Violated
684,-51,-153,Violated
685,-24,-72,Violated
686,5,15,Not-violated
687,-2,-6,Not-violated
688,11,33,Not-violated
689,-14,-42,Violated
690,-7,-21,Violated
691,-10,-30,Not-violated
692,-30,-90,Not-violated
693,-4,-12,Violated
694,-45,-135,Violated
695,-20,-60,Violated
696,10,30,Violated
697,12,36,Violated
698,2,6,Not-violated
699,-55,-165,Not-violated
700,10,30,Not-violated
701,-26,-78,Violated
702,18,54,Not-violated
703,5,15,Not-violated
704,-15,-45,Violated
705,81,243,Not-violated
706,-1,-3,Violated
707,-99,-297,Violated
708,23,69,Violated
709,-113,-339,Not-violated
710,-18,-54,Not-violated
711,3,9,Not-violated
712,7,21,Not-violated
713,-20,-60,Not-violated
714,-17,-51,Violated
715,40,120,Not-violated
716,55,165,Violated
717,26,78,Not-violated
718,-30,-90,Violated
719,-55,-165,Violated
720,-47,-141,Violated
721,-61,-183,Not-violated
722,5,15,Not-violated
723,27,81,Not-violated
724,-13,-39,Not-violated
725,-25,-75,Violated
726,-14,-42,Violated
727,-30,-90,Not-violated
728,36,108,Not-violated
729,-5,-15,Not-violated
730,-10,-30,Violated
731,-1,-3,Not-violated
732,-48,-144,Violated
733,42,126,Not-violated
734,-13,-39,Violated
735,-14,-42,Not-violated
736,-51,-153,Violated
737,38,114,Violated
738,-9,-27,Violated
739,-60,-180,Violated
740,-27,-81,Violated
741,4,12,Violated
742,28,84,Not-violated
743,-66,-198,Not-violated
744,-21,-63,Violated
745,-61,-183,Not-violated
746,-6,-18,Not-violated
747,-19,-57,Not-violated
748,14,42,Violated
749,15,45,Violated
750,-37,-111,Violated
751,-25,-75,Violated
752,16,48,Violated
753,-26,-78,Violated
754,9,27,Violated
755,-16,-48,Not-violated
756,42,126,Violated
757,17,51,Violated
758,0,0,Violated
759,21,63,Not-violated
760,-15,-45,Violated
761,2,6,Not-violated
762,48,144,Not-violated
763,-56,-168,Violated
764,34,102,Not-violated
765,43,129,Not-violated
766,-23,-69,Violated
767,89,267,Not-violated
768,-89,-267,Not-violated
769,48,144,Violated
770,-22,-66,Violated
771,-6,-18,Not-violated
772,7,21,Not-violated
773,19,57,Not-violated
774,-35,-105,Not-violated
775,-19,-57,Not-violated
776,-27,-81,Violated
777,5,15,Not-violated
778,2,6,Violated
779,-2,-6,Violated
780,-43,-129,Violated
781,-8,-24,Violated
782,65,195,Violated
783,34,102,Not-violated
784,1,3,Not-violated
785,43,129,Not-violated
786,-1,-3,Violated
787,9,27,Not-violated
788,9,27,Violated
789,70,210,Not-violated
790,13,39,Violated
791,1,3,Not-violated
792,40,120,Not-violated
793,-34,-102,Violated
794,62,186,Not-violated
795,-1,-3,Violated
796,-2,-6,Not-violated
797,60,180,Not-violated
798,-7,-21,Violated
799,-35,-105,Violated
800,47,141,Not-violated
801,-70,-210,Violated
802,19,57,Not-violated
803,10,30,Violated
804,-32,-96,Violated
805,-3,-9,Not-violated
806,27,81,Not-violated
807,9,27,Violated
808,21,63,Violated
809,-66,-198,Violated
810,32,96,Violated
811,0,0,Violated
812,-3,-9,Not-violated
813,-43,-129,Not-violated
814,5,15,Not-violated
815,10,30,Violated
816,32,96,Not-violated
817,10,30,Violated
818,26,78,Violated
819,13,39,Not-violated
820,-10,-30,Violated
821,-11,-33,Violated
822,8,24,Violated
823,4,12,Not-violated
824,3,9,Violated
825,13,39,Not-violated
826,0,0,Violated
827,17,51,Not-violated
828,62,186,Not-violated
829,40,120,Not-violated
830,-12,-36,Not-violated
831,-12,-36,Violated
832,-43,-129,Not-violated
833,-48,-144,Not-violated
834,-13,-39,Violated
835,-4,-12,Not-violated
836,35,105,Not-violated
837,12,36,Not-violated
838,61,183,Not-violated
839,14,42,Violated
840,56,168,Not-violated
841,99,297,Not-violated
842,-1,-3,Violated
843,23,69,Violated
844,-14,-42,Violated
845,14,42,Not-violated
846,-28,-84,Not-violated
847,-54,-162,Violated
848,-30,-90,Violated
849,-35,-105,Not-violated
850,-88,-264,Violated
851,-44,-132,Violated
852,37,111,Not-violated
853,16,48,Violated
854,1,3,Violated
855,-13,-39,Violated
856,7,21,Not-violated
857,-45,-135,Violated
858,-31,-93,Not-violated
859,-13,-39,Violated
860,36,108,Not-violated
861,-56,-168,Not-violated
862,46,138,Not-violated
863,8,24,Not-violated
864,9,27,Not-violated
865,-8,-24,Violated
866,-14,-42,Not-violated
867,43,129,Not-violated
868,27,81,Violated
869,15,45,Violated
870,-81,-243,Violated
871,-18,-54,Not-violated
872,-25,-75,Violated
873,24,72,Not-violated
874,-13,-39,Violated
875,-81,-243,Violated
876,-6,-18,Violated
877,-40,-120,Violated
878,-65,-195,Violated
879,4,12,Violated
880,-54,-162,Not-violated
881,-32,-96,Not-violated
882,-106,-318,Violated
883,1,3,Not-violated
884,53,159,Not-violated
885,-34,-102,Violated
886,-40,-120,Not-violated
887,11,33,Not-violated
888,-14,-42,Violated
889,47,141,Violated
890,-11,-33,Not-violated
891,22,66,Not-violated
892,34,102,Not-violated
893,36,108,Not-violated
894,-61,-183,Not-violated
895,-19,-57,Not-violated
896,8,24,Violated
897,23,69,Not-violated
898,-45,-135,Not-violated
899,15,45,Violated
900,19,57,Violated
901,-52,-156,Not-violated
902,-13,-39,Violated
903,-19,-57,Violated
904,24,72,Violated
905,16,48,Violated
906,-40,-120,Violated
907,16,48,Violated
908,-23,-69,Not-violated
909,-9,-27,Violated
910,22,66,Not-violated
911,-76,-228,Violated
912,-66,-198,Violated
913,-47,-141,Violated
914,58,174,Not-violated
915,2,6,Not-violated
916,-54,-162,Violated
917,36,108,Violated
918,-18,-54,Violated
919,6,18,Not-violated
920,0,0,Not-violated
921,-5,-15,Violated
922,11,33,Violated
923,36,108,Not-violated
924,-35,-105,Violated
925,11,33,Violated
926,-16,-48,Violated
927,-8,-24,Violated
928,37,111,Not-violated
929,18,54,Not-violated
930,-28,-84,Violated
931,26,78,Not-violated
932,-44,-132,Not-violated
933,78,234,Not-violated
934,14,42,Violated
935,15,45,Violated
936,-21,-63,Not-violated
937,-37,-111,Not-violated
938,37,111,Not-violated
939,-12,-36,Violated
940,-21,-63,Violated
941,-19,-57,Not-violated
942,35,105,Not-violated
943,8,24,Not-violated
944,47,141,Not-violated
945,10,30,Not-violated
946,-39,-117,Violated
947,20,60,Not-violated
948,27,81,Not-violated
949,-2,-6,Not-violated
950,-25,-75,Violated
951,4,12,Not-violated
952,1,3,Violated
953,-41,-123,Violated
954,-18,-54,Violated
955,-6,-18,Not-violated
956,37,111,Not-violated
957,-4,-12,Not-violated
958,-8,-24,Violated
959,16,48,Not-violated
960,-10,-30,Not-violated
961,17,51,Violated
962,16,48,Not-violated
963,-37,-111,Violated
964,-9,-27,Violated
965,28,84,Not-violated
966,23,69,Violated
967,27,81,Not-violated
968,33,99,Not-violated
969,8,24,Not-violated
970,-72,-216,Violated
971,-19,-57,Violated
972,29,87,Not-violated
973,5,15,Not-violated
974,-81,-243,Violated
975,13,39,Not-violated
976,-38,-114,Violated
977,48,144,Not-violated
978,21,63,Not-violated
979,-65,-195,Violated
980,-14,-42,Not-violated
981,-19,-57,Violated
982,-19,-57,Violated
983,-33,-99,Violated
984,-13,-39,Violated
985,-25,-75,Violated
986,-17,-51,Violated
987,-13,-39,Not-violated
988,12,36,Not-violated
989,-44,-132,Violated
990,-21,-63,Violated
991,19,57,Not-violated
992,-21,-63,Not-violated
993,8,24,Not-violated
994,29,87,Violated
995,16,48,Not-violated
996,-8,-24,Not-violated
997,14,42,Not-violated
998,-1,-3,Violated
999,-17,-51,Violated
1000,1,3,Violated
1001,-34,-102,Violated
1002,-4,-12,Not-violated
1003,21,63,Not-violated
1004,51,153,Not-violated
1005,-2,-6,Violated
1006,-25,-75,Not-violated
1007,-4,-12,Not-violated
1008,-42,-126,Violated
1009,-3,-9,Violated
1010,11,33,Violated
1011,-68,-204,Violated
1012,-8,-24,Violated
1013,-56,-168,Violated
1014,1,3,Violated
1015,-30,-90,Violated
1016,-41,-123,Violated
1017,-25,-75,Violated
1018,-25,-75,Violated
1019,0,0,Violated
1020,-19,-57,Violated
1021,-12,-36,Violated
1022,-6,-18,Not-violated
1023,-36,-108,Violated
1024,-38,-114,Violated
1025,-7,-21,Not-violated
1026,-52,-156,Violated
1027,-6,-18,Violated
1028,-24,-72,Not-violated
1029,-29,-87,Not-violated
1030,59,177,Not-violated
1031,-106,-318,Violated
1032,-22,-66,Violated
1033,9,27,Not-violated
1034,15,45,Violated
1035,-15,-45,Not-violated
1036,-29,-87,Not-violated
1037,23,69,Violated
1038,-23,-69,Violated
1039,14,42,Not-violated
1040,-23,-69,Violated
1041,-21,-63,Violated
1042,25,75,Violated
1043,9,27,Not-violated
1044,20,60,Not-violated
1045,-74,-222,Violated
1046,22,66,Not-violated
1047,-73,-219,Violated
1048,17,51,Not-violated
1049,-35,-105,Not-violated
1050,11,33,Violated
1051,-49,-147,Violated
1052,15,45,Not-violated
1053,4,12,Not-violated
1054,5,15,Not-violated
1055,-5,-15,Not-violated
1056,25,75,Not-violated
1057,-47,-141,Violated
1058,-16,-48,Violated
1059,3,9,Violated
1060,-3,-9,Not-violated
1061,-48,-144,Not-violated
1062,-35,-105,Violated
1063,-60,-180,Violated
1064,-1,-3,Violated
1065,9,27,Not-violated
1066,-20,-60,Not-violated
1067,12,36,Not-violated
1068,22,66,Not-violated
1069,39,117,Not-violated
1070,-18,-54,Not-violated
1071,-17,-51,Violated
1072,69,207,Not-violated
1073,-5,-15,Violated
1074,-26,-78,Not-violated
1075,-47,-141,Not-violated
1076,9,27,Violated
1077,19,57,Violated
1078,-79,-237,Not-violated
1079,1,3,Not-violated
1080,-18,-54,Violated
1081,58,174,Not-violated
1082,5,15,Not-violated
1083,-26,-78,Violated
1084,-13,-39,Not-violated
1085,34,102,Not-violated
1086,-19,-57,Not-violated
1087,-98,-294,Not-violated
1088,-18,-54,Violated
1089,-2,-6,Violated
1090,8,24,Not-violated
1091,30,90,Not-violated
1092,-5,-15,Violated
1093,-31,-93,Violated
1094,7,21,Violated
1095,12,36,Not-violated
1096,42,126,Not-violated
1097,-13,-39,Violated
1098,-28,-84,Violated
1099,9,27,Not-violated
1100,31,93,Violated
1101,-90,-270,Violated
1102,-52,-156,Violated
1103,-17,-51,Not-violated
1104,-85,-255,Violated
1105,-13,-39,Not-violated
1106,-46,-138,Violated
1107,14,42,Not-violated
1108,27,81,Not-violated
1109,10,30,Not-violated
1110,-64,-192,Violated
1111,-11,-33,Violated
1112,-24,-72,Violated
1113,4,12,Not-violated
1114,6,18,Violated
1115,-5,-15,Not-violated
1116,-101,-303,Not-violated
1117,-13,-39,Not-violated
1118,-15,-45,Violated
1119,40,120,Not-violated
1120,-38,-114,Violated
1121,-4,-12,Not-violated
1122,-1,-3,Violated
1123,-13,-39,Violated
1124,-45,-135,Not-violated
1125,-20,-60,Violated
1126,25,75,Not-violated
1127,-20,-60,Not-violated
1128,27,81,Not-violated
1129,18,54,Violated
1130,-57,-171,Violated
1131,-12,-36,Not-violated
1132,-13,-39,Not-violated
1133,-1,-3,Violated
1134,-97,-291,Violated
1135,-15,-45,Not-violated
1136,-1,-3,Not-violated
1137,-41,-123,Violated
1138,-55,-165,Violated
1139,48,144,Not-violated
1140,12,36,Violated
1141,65,195,Not-violated
1142,-8,-24,Violated
1143,-12,-36,Violated
1144,-14,-42,Violated
1145,-67,-201,Not-violated
